연번,업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
15,일반음식점,사랑방식당,대구광역시 수성구 만촌로4길 1 (만촌동),대구광역시 수성구 만촌동 1000-10 ,55.2,053-756-6598,까페
16,일반음식점,애플,대구광역시 수성구 동대구로7길 16 (두산동),대구광역시 수성구 두산동 123-6 ,120.36,053-766-0285,까페
17,일반음식점,내게소중한사람들,대구광역시 수성구 희망로 165 (황금동),대구광역시 수성구 황금동 756-3 ,74.46,053-765-6965,까페
18,일반음식점,놀이터,대구광역시 수성구 지범로 45-2 (지산동),대구광역시 수성구 지산동 1160-22 ,172.86,053-783-5556,까페
19,일반음식점,여정식당,대구광역시 수성구 지범로39길 11-7 (범물동),대구광역시 수성구 범물동 1275-1 ,186.16,053-782-0400,까페
20,일반음식점,선우당,대구광역시 수성구 들안로 100-6 (두산동),대구광역시 수성구 두산동 36-7 ,129.32,053-761-1080,까페
21,일반음식점,뉴니스,대구광역시 수성구 들안로 338 (수성동4가),대구광역시 수성구 수성동4가 1021-6 ,90.6,053-756-8334,까페
22,일반음식점,라이브카페비바다비,대구광역시 수성구 달구벌대로480길 25 (범어동),대구광역시 수성구 범어동 547-5 ,91.65,053-756-6280,까페
23,일반음식점,바나나,대구광역시 수성구 동대구로6길 8 (지산동),대구광역시 수성구 지산동 1054-8 ,108.32,053-763-9004,까페
24,일반음식점,허수사참치,대구광역시 수성구 희망로 192 (황금동),대구광역시 수성구 황금동 769-2 ,77.05,053-761-7615,까페
25,일반음식점,맑은자리,대구광역시 수성구 용학로44길 49 (지산동),대구광역시 수성구 지산동 1205-10 ,39.96,053-784-8255,까페
26,일반음식점,현주라이브,대구광역시 수성구 지범로 45-2 (지산동),대구광역시 수성구 지산동 1160-22 ,145.55,053-782-3330,까페
27,일반음식점,더스타,대구광역시 수성구 고산로 102-2 (신매동),대구광역시 수성구 신매동 567-5 ,150.65,053-791-4889,까페
28,일반음식점,뮤직&바(MUSIC&BAR),대구광역시 수성구 용학로25길 36 (두산동),대구광역시 수성구 두산동 744-2 외1필지(744-3) ,115.72,053-784-4276,까페
29,일반음식점,두셰프의돈가스&마우시지광장점,"대구광역시 수성구 고산로 104-2, 2층 (신매동)",대구광역시 수성구 신매동 567-62 ,160.1,053-794-0210,까페
30,일반음식점,비엘식당,"대구광역시 수성구 동대구로 90 (지산동,4)",대구광역시 수성구 지산동 950-3 4 ,171.5,053-767-0402,까페
31,일반음식점,알부자알찜,대구광역시 수성구 동대구로7길 40 (두산동),대구광역시 수성구 두산동 131-12 ,64.8,053-766-4588,까페
32,일반음식점,오로,대구광역시 수성구 청수로 109 (황금동),대구광역시 수성구 황금동 891-12 ,194.5,053-766-2771,까페
33,일반음식점,씨엘(Ciel),대구광역시 수성구 범어천로 128 (범어동),대구광역시 수성구 범어동 792-2 ,119.67,053-743-3313,까페
34,일반음식점,더모스트(THE MOST),대구광역시 수성구 청수로 98 (두산동),대구광역시 수성구 두산동 10 ,199.73,053-761-5571,까페
35,일반음식점,옛날생막창,대구광역시 수성구 고산로4안길 35 (신매동),대구광역시 수성구 신매동 607 ,116.07,053-793-0028,까페
36,일반음식점,라(Ra),"대구광역시 수성구 동대구로 119 (황금동,,8)","대구광역시 수성구 황금동 846-7 ,8 ",152.1,053-763-0846,까페
37,일반음식점,숲(Soop),대구광역시 수성구 무학로 115 (두산동),대구광역시 수성구 두산동 179-1 ,168.18,053-765-3343,까페
38,일반음식점,엔바,대구광역시 수성구 수성못2길 9 (두산동),대구광역시 수성구 두산동 687 ,125.94,053-765-6521,까페
39,일반음식점,랑데뷰,대구광역시 수성구 범안로 28 (범물동),대구광역시 수성구 범물동 1362-7 ,96,053-784-4298,까페
40,일반음식점,맛족맛있는돈족발,대구광역시 수성구 신매로8길 12 (신매동),대구광역시 수성구 신매동 584-15 ,43.1,053-794-7176,까페
41,일반음식점,세시봉,대구광역시 수성구 청수로 40 (상동),대구광역시 수성구 상동 1-1 ,100.02,053-764-8899,까페
42,일반음식점,더 테이블,대구광역시 수성구 고산로4길 26 (신매동),대구광역시 수성구 신매동 596-5 ,87.1,053-792-5786,까페
43,일반음식점,썸,대구광역시 수성구 들안로 109-1 (상동),대구광역시 수성구 상동 9-2 ,246.51,053-766-6452,까페
44,일반음식점,프롬(from),대구광역시 수성구 수성못2길 7 (두산동),대구광역시 수성구 두산동 685 ,100.81,053-761-3341,까페
45,일반음식점,헤븐,"대구광역시 수성구 동대구로 11 (두산동,(외2필지 9, 3))","대구광역시 수성구 두산동 207-10 (외2필지 9, 3) ",82.3,053-767-2355,까페
46,일반음식점,라라곱떡수성못본점,대구광역시 수성구 수성못2길 55-2 (두산동),대구광역시 수성구 두산동 664 ,148.99,053-762-8822,까페
47,일반음식점,채플린,대구광역시 수성구 수성로 34 (상동),대구광역시 수성구 상동 497-6 ,86.38,053-765-3008,까페
48,일반음식점,쉘브르,"대구광역시 수성구 용학로25길 34, 2층 (두산동)",대구광역시 수성구 두산동 744-4 ,210.97,053-781-0045,까페
49,일반음식점,펜트하우스,"대구광역시 수성구 용학로36길 4 (지산동,지하1층)",대구광역시 수성구 지산동 1188-6 지하1층 ,328.33,053-783-0177,까페
50,일반음식점,2F,"대구광역시 수성구 청수로 102, 2층 (두산동)",대구광역시 수성구 두산동 12-1 ,168.88,053-764-5110,까페
51,일반음식점,미엔,"대구광역시 수성구 동대구로59길 3, 지하1층 (범어동)",대구광역시 수성구 범어동 587-10 ,102.7,053-754-2862,까페
52,일반음식점,레드캣,대구광역시 수성구 국채보상로 942 (범어동),대구광역시 수성구 범어동 436-21 ,102.35,053-754-0910,까페
53,일반음식점,시카고(chicago),대구광역시 수성구 달구벌대로 2354 (수성동3가),대구광역시 수성구 수성동3가 10 ,162,053-745-7703,까페
54,일반음식점,bar램,대구광역시 수성구 무학로23길 95 (두산동),대구광역시 수성구 두산동 127-5 ,143.1,데이터 미집계,까페
55,일반음식점,모노,대구광역시 수성구 범안로3길 45 (범물동),대구광역시 수성구 범물동 1339-3 ,95.16,053-782-8826,까페
56,일반음식점,짬뽕신,대구광역시 수성구 신매로19길 30 (신매동),대구광역시 수성구 신매동 567-19 ,176,053-795-3232,까페
57,일반음식점,블리,대구광역시 수성구 수성로 344-1 (수성동2가),대구광역시 수성구 수성동2가 239-2 ,152.2,데이터 미집계,까페
58,일반음식점,하바나,"대구광역시 수성구 지범로39길 21-7 (범물동,지하101호)",대구광역시 수성구 범물동 1277-1 지하101호 ,131.55,053-781-3323,까페
59,일반음식점,벨리니,"대구광역시 수성구 무학로23길 59 (두산동, 2층)",대구광역시 수성구 두산동 190-7 ,233.47,053-765-0640,까페
60,일반음식점,쿠바(CUBA4),대구광역시 수성구 들안로 94 (두산동),대구광역시 수성구 두산동 36-3 ,169.24,053-767-9443,까페
61,일반음식점,미(ME),대구광역시 수성구 들안로 90 (두산동),대구광역시 수성구 두산동 35-6 ,107.8,053-763-5989,까페
62,일반음식점,오즈식당,"대구광역시 수성구 수성못2길 27 (두산동,(2층))",대구광역시 수성구 두산동 704 (2층) ,146.7,053-764-2225,까페
63,일반음식점,신전떡볶이,대구광역시 수성구 신매로19길 4 (신매동),대구광역시 수성구 신매동 567-49 ,100.35,053-793-9625,까페
64,일반음식점,빈스,대구광역시 수성구 달구벌대로526안길 9 (만촌동),대구광역시 수성구 만촌동 853-21 ,56.69,0507-1317-2446,까페
65,일반음식점,제로제로까를로,대구광역시 수성구 수성못2길 47 (두산동),대구광역시 수성구 두산동 669-5 ,91.51,053-781-0427,까페
66,일반음식점,마이웨이,대구광역시 수성구 지범로 251 (범물동),대구광역시 수성구 범물동 1319-1 ,88.11,053-782-9400,까페
67,일반음식점,시레나,대구광역시 수성구 고산로 104-1 (신매동),대구광역시 수성구 신매동 567-56 ,120.6,053-791-9119,까페
68,일반음식점,의리짬뽕시지점,"대구광역시 수성구 달구벌대로641길 20, 1층 (매호동)",대구광역시 수성구 매호동 1079-2 ,102.36,053-791-5507,까페
69,일반음식점,토론토,대구광역시 수성구 달구벌대로 2315 (수성동4가),대구광역시 수성구 수성동4가 1085-28 ,69.25,053-742-0311,까페
70,일반음식점,무아(mua),"대구광역시 수성구 상록로 16 (범어동,(1층))",대구광역시 수성구 범어동 39-15 (1층) ,37.6,053-754-3022,까페
71,일반음식점,맛있어서우야지,"대구광역시 수성구 신매로19길 8-2 (신매동,(1층))",대구광역시 수성구 신매동 567-22 (1층) ,62.4,053-785-3038,까페
72,일반음식점,모마(MoMA),"대구광역시 수성구 달구벌대로649길 20 (신매동,(2층))",대구광역시 수성구 신매동 255-9 (2층) ,54.48,053-793-4385,까페
73,일반음식점,클래식커피,"대구광역시 수성구 동대구로6길 24, 1층 (지산동)",대구광역시 수성구 지산동 1058-3 ,45,053-767-8541,까페
74,일반음식점,루체테(Lucete),"대구광역시 수성구 수성못2길 55-1 (두산동,(3층))",대구광역시 수성구 두산동 661 (3층) ,187.96,053-767-4865,까페
75,일반음식점,모든날모든순간(모.모),"대구광역시 수성구 월드컵로5길 17 (대흥동,(2층))",대구광역시 수성구 대흥동 331-3 (2층) ,236.67,053-794-9889,까페
76,일반음식점,아지겐,대구광역시 수성구 동대구로3길 24 (두산동),대구광역시 수성구 두산동 192-7 ,37.8,053-764-0884,까페
77,일반음식점,카페부오노(Caffe Buono),대구광역시 수성구 용학로30길 80 (지산동),대구광역시 수성구 지산동 1192-5 ,49.5,053-781-4646,까페
78,일반음식점,소피아네,"대구광역시 수성구 고산로4안길 8, 1층 (신매동)",대구광역시 수성구 신매동 597-16 1층 ,61.32,053-792-1205,까페
79,일반음식점,꽁트(Conte),대구광역시 수성구 노변공원로 89 (노변동),대구광역시 수성구 노변동 447-2 ,143.55,053-793-7711,까페
80,일반음식점,봄날,대구광역시 수성구 지범로 49 (지산동),대구광역시 수성구 지산동 1160-34 ,92.56,데이터 미집계,까페
81,일반음식점,클레오파트라,대구광역시 수성구 청솔로 122 (범어동),대구광역시 수성구 범어동 802-3 ,57.7,053-754-9955,까페
82,일반음식점,브랜치식당,"대구광역시 수성구 상록로 37 (범어동,(지상2층))",대구광역시 수성구 범어동 479-41 (지상2층) ,116.2,053-424-0022,까페
83,일반음식점,오리진커피,대구광역시 수성구 범어천로 8 (황금동),대구광역시 수성구 황금동 683-4 ,349.12,053-761-2999,까페
84,일반음식점,레스토레오,대구광역시 수성구 무학로11길 28-26 (상동),대구광역시 수성구 상동 397-6 ,66,053-761-1885,까페
85,일반음식점,쪼쪼찜닭,대구광역시 수성구 청솔로 124-23 (범어동),대구광역시 수성구 범어동 800-41 ,71.4,0507-1406-6655,까페
86,일반음식점,슬로우하우스(SLOW HOUSE),대구광역시 수성구 청수로 200 (지산동),대구광역시 수성구 지산동 911 ,34.8,데이터 미집계,까페
87,일반음식점,제임스딘,"대구광역시 수성구 지범로 182, 지하1층 (지산동)",대구광역시 수성구 지산동 1275-10 (지하1층) ,254.63,053-781-7008,까페
88,일반음식점,더샐러드(THE SALAD),대구광역시 수성구 동대구로 214 (범어동),대구광역시 수성구 범어동 711-5 ,17.8,053-746-8788,까페
89,일반음식점,붐,대구광역시 수성구 노변공원로 27 (시지동),대구광역시 수성구 시지동 503-7 ,54.92,053-215-9119,까페
90,일반음식점,두툼참숯초벌구이,대구광역시 수성구 범안로3길 81 (지산동),대구광역시 수성구 지산동 1212-9 ,94.35,053-783-8685,까페
91,일반음식점,리움,대구광역시 수성구 청수로 511 (만촌동),대구광역시 수성구 만촌동 818 ,28.4,053-751-1020,까페
92,일반음식점,리치,"대구광역시 수성구 용학로 86, 3층 (두산동)",대구광역시 수성구 두산동 894-4 ,123.66,053-766-5569,까페
93,일반음식점,노랑통닭중동교점,대구광역시 수성구 수성로25길 50 (상동),대구광역시 수성구 상동 170-10 ,112.83,053-767-2011,까페
94,일반음식점,바비네카페(BOB'S CAFE),대구광역시 수성구 동대구로 358-26 (범어동),대구광역시 수성구 범어동 175-5 ,125.8,053-741-4820,까페
95,일반음식점,옐로우서브마린,대구광역시 수성구 국채보상로 918 (범어동),대구광역시 수성구 범어동 128-24 ,68.6,데이터 미집계,까페
96,일반음식점,크라운,대구광역시 수성구 동대구로73길 10 (범어동),대구광역시 수성구 범어동 17-6 ,22.4,053-754-0515,까페
97,일반음식점,고(go)커피레드,대구광역시 수성구 수성로38길 12 (중동),대구광역시 수성구 중동 175-5 ,40.95,053-766-2667,까페
98,일반음식점,바솜(바르고소담스러움),대구광역시 수성구 달구벌대로627길 21-13 (매호동),대구광역시 수성구 매호동 1339 ,89.6,053-792-0046,까페
99,일반음식점,미가,대구광역시 수성구 교학로 54 (만촌동),대구광역시 수성구 만촌동 877-47 ,54.72,053-741-3860,까페
100,일반음식점,한신포차 수성못점,대구광역시 수성구 수성못2길 53 (두산동),대구광역시 수성구 두산동 665 ,220.41,053-751-0202,까페
101,일반음식점,설빙대구수성못점,"대구광역시 수성구 수성못2길 53, 2층 (두산동)",대구광역시 수성구 두산동 665 2층 ,220.41,053-763-5200,까페
102,일반음식점,뮬(뮤직카페),대구광역시 수성구 무학로21길 19 (두산동),대구광역시 수성구 두산동 163-7 ,90.25,데이터 미집계,까페
103,일반음식점,혜윰생각,대구광역시 수성구 천을로 42 (시지동),대구광역시 수성구 시지동 76-3 ,34.87,데이터 미집계,까페
104,일반음식점,중국전통요리상해관,대구광역시 수성구 상록로 24 (범어동),대구광역시 수성구 범어동 27-13 ,122.68,053-745-1890,까페
105,일반음식점,아담브릿지,대구광역시 수성구 수성로15길 46 (상동),대구광역시 수성구 상동 221 ,173.51,053-292-0000,까페
106,일반음식점,커피스미스대구수성레이크점,대구광역시 수성구 용학로 82 (두산동),대구광역시 수성구 두산동 899-9 ,409.8,053-766-8567,까페
107,일반음식점,펫타임대구수성레이크점,"대구광역시 수성구 용학로 82, 1층 (두산동)",대구광역시 수성구 두산동 899-9 ,118.8,053-766-8506,까페
108,일반음식점,아미,대구광역시 수성구 지범로 289 (범물동),대구광역시 수성구 범물동 1306-12 ,39.78,053-781-7979,까페
109,일반음식점,"수고했어,오늘도",대구광역시 수성구 달구벌대로480길 22 (범어동),대구광역시 수성구 범어동 560-1 ,19.83,053-752-8811,까페
110,일반음식점,(주)텀트리,"대구광역시 수성구 용학로 138, 2층 (두산동)",대구광역시 수성구 두산동 746 ,618,053-944-3912,까페
111,일반음식점,다수니와플,"대구광역시 수성구 무학로21안길 96, 1층 (두산동)",대구광역시 수성구 두산동 144-4 1층 ,32.24,053-768-1185,까페
112,휴게음식점,끌레임,대구광역시 수성구 수성로 308 (수성동2가),대구광역시 수성구 수성동2가 273-6 ,70.35,053-217-3883,커피숍
113,휴게음식점,다빈치커피,"대구광역시 수성구 동원로 110, 322동 106호 (만촌동,메트로팔레스상가)",대구광역시 수성구 만촌동 1429 메트로팔레스상가 322동 106호,25.7,053-741-7469,커피숍
114,휴게음식점,더블유카페,대구광역시 수성구 화랑로 58 (만촌동),대구광역시 수성구 만촌동 1356-17 ,30.8,053-757-2000,커피숍
115,휴게음식점,스타벅스동아수성점,"대구광역시 수성구 지범로 191, 동아백화점수성점 1층 (범물동)",대구광역시 수성구 범물동 1273 동아백화점수성점 1층 ,146.87,053-782-1875,커피숍
116,휴게음식점,마시그래이대구법원점,"대구광역시 수성구 동대구로 371, 1층 (범어동)",대구광역시 수성구 범어동 13-10 ,18.27,053-741-5611,커피숍
117,휴게음식점,말카커피,대구광역시 수성구 지범로46길 19 (범물동),대구광역시 수성구 범물동 484 ,76.72,053-782-0456,커피숍
118,휴게음식점,커피명가,대구광역시 수성구 지범로 167 (지산동),대구광역시 수성구 지산동 1276-5 ,173.4,053-784-0892,커피숍
119,휴게음식점,커피명가,"대구광역시 수성구 달구벌대로 3204-1 (신매동,(A동))",대구광역시 수성구 신매동 567-13 (A동) ,75.9,053-795-2278,커피숍
120,휴게음식점,핸즈커피범어점,대구광역시 수성구 국채보상로 906 (범어동),대구광역시 수성구 범어동 128-1 ,82.08,053-742-3476,커피숍
121,휴게음식점,DGB카페휴(CAFE休),"대구광역시 수성구 달구벌대로 2310, 대구은행본점 본관동 지하1층 (수성동2가)",대구광역시 수성구 수성동2가 118 대구은행본점 지하1층 본관동 ,34.4,053-740-2655,커피숍
122,휴게음식점,핸즈커피(범어4가점),대구광역시 수성구 달구벌대로 2482 (범어동),대구광역시 수성구 범어동 197-7 ,73.36,053-746-3476,커피숍
123,휴게음식점,핸즈커피지산점,대구광역시 수성구 지범로 170 (지산동),대구광역시 수성구 지산동 1275-4 ,85.5,053-784-3476,커피숍
124,휴게음식점,엔제리너스 대구메트로점,"대구광역시 수성구 동원로 123, 222동 105호 (만촌동,메트로팔레스상가)",대구광역시 수성구 만촌동 1356-7 메트로팔레스상가 222동 105호,132.21,053-742-2004,커피숍
125,휴게음식점,위치위치샌드위치,"대구광역시 수성구 달구벌대로 2282-10, 1층 (수성동1가)",대구광역시 수성구 수성동1가 75-3 1층 ,67.59,053-742-2001,커피숍
126,휴게음식점,커피1번가,"대구광역시 수성구 상록로16길 60-2, 1층 (범어동)",대구광역시 수성구 범어동 11-1 1층 ,61.4,0507-1497-8091,커피숍
127,휴게음식점,버터즈,대구광역시 수성구 신매로4길 4-15 (신매동),대구광역시 수성구 신매동 592-8 ,35.22,0507-1327-1051,커피숍
128,휴게음식점,개정(커피명가),"대구광역시 수성구 범어로 9 (범어동,외1필지)",대구광역시 수성구 범어동 332 외1필지 ,60.07,053-755-8765,커피숍
129,휴게음식점,달커피,"대구광역시 수성구 달구벌대로641길 8 (매호동,매호2차동서아파트상가 209동 103호)",대구광역시 수성구 매호동 1077-1 매호2차동서아파트상가 209동 103호 ,3.3,0507-1406-5022,커피숍
130,휴게음식점,베스킨라빈스수성점,"대구광역시 수성구 명덕로 428 (수성동2가,외3필지)",대구광역시 수성구 수성동2가 62-1 외3필지 ,65.7,053-766-3031,커피숍
131,휴게음식점,핸즈커피수성3가점,"대구광역시 수성구 들안로60길 27, 상가동 102호 (수성동3가,수성센스빌)",대구광역시 수성구 수성동3가 37-5 수성센스빌 상가동 102호,43,053-745-3476,커피숍
132,휴게음식점,피쉬마운트범물점,"대구광역시 수성구 지범로40길 6, 상가동 111호 (범물동, 신화에덴아파트)",대구광역시 수성구 범물동 1332 신화에덴아파트 상가동 111호,49,0507-1493-8677,커피숍
133,휴게음식점,코페아커피,"대구광역시 수성구 고산로18길 5 (신매동,(1층,2층))","대구광역시 수성구 신매동 567-67 (1층,2층) ",322.08,053-794-1107,커피숍
134,휴게음식점,해리슨커피,"대구광역시 수성구 신천동로 136, B동 B호 (상동,외필지)",대구광역시 수성구 상동 162-4 외필지 B동 B호,14.8,053-474-0889,커피숍
135,휴게음식점,다빈치수성월드점,"대구광역시 수성구 범어천로 205 (수성동4가,(1~2층))",대구광역시 수성구 수성동4가 1012-10 (1~2층) ,176.63,053-745-4506,커피숍
136,휴게음식점,에녹커피클레식,대구광역시 수성구 지범로46길 17 (범물동),대구광역시 수성구 범물동 485 ,95.63,070-8122-3434,커피숍
137,휴게음식점,리더스커피,"대구광역시 수성구 달구벌대로 3204 (신매동,(7층))",대구광역시 수성구 신매동 567-60 (7층) ,351.15,053-791-0705,커피숍
138,휴게음식점,소소(SoSo)한이야기,"대구광역시 수성구 지범로40길 6, 가동 109호 (범물동,범물 에덴,신화상가)","대구광역시 수성구 범물동 1332 범물 에덴,신화상가 가동 109호",45.1,053-783-1257,커피숍
139,휴게음식점,더카페,"대구광역시 수성구 들안로77길 27, 1층 (수성동4가)",대구광역시 수성구 수성동4가 1125-14 1층 ,0,053-633-7675,커피숍
140,휴게음식점,러빙헛,"대구광역시 수성구 달구벌대로504길 43 (범어동,(1층))",대구광역시 수성구 범어동 96-1 (1층) ,40.3,053-752-6480,커피숍
141,휴게음식점,마마플레이트,"대구광역시 수성구 청호로 411 (범어동,(1층))",대구광역시 수성구 범어동 93-63 (1층) ,80.29,053-755-1697,커피숍
142,휴게음식점,로스팅 메리스,"대구광역시 수성구 지범로 208, 1층 (범물동, 무민제빌딩)",대구광역시 수성구 범물동 1330-3 무민제빌딩 ,32.6,053-781-3332,커피숍
143,휴게음식점,커피빌리지,"대구광역시 수성구 동대구로 345, 1-101호 (범어동, 범어역우방유쉘상가동)",대구광역시 수성구 범어동 35-1 ,54.5,070-7776-4816,커피숍
144,휴게음식점,커피명가효성병원점,"대구광역시 수성구 수성로 194 (중동,효성병원(1층))",대구광역시 수성구 중동 105-2 효성병원(1층) ,19.25,070-7776-4816,커피숍
145,휴게음식점,비싼커피,대구광역시 수성구 천을로 155 (매호동),대구광역시 수성구 매호동 1328-14 ,53.48,0507-1322-2883,커피숍
146,휴게음식점,카페봄,"대구광역시 수성구 달구벌대로528길 9 (만촌동,(달구벌대로 528길9))",대구광역시 수성구 만촌동 855-24 (달구벌대로 528길9) ,67.5,053-751-8758,커피숍
147,휴게음식점,커피자루(ZarU),대구광역시 수성구 동원로 47 (범어동),대구광역시 수성구 범어동 407-19 ,48.7,데이터 미집계,커피숍
148,휴게음식점,영 휴게소,대구광역시 수성구 동대구로 361 (범어동),대구광역시 수성구 범어동 31-7 ,27.9,데이터 미집계,커피숍
149,휴게음식점,더카페,"대구광역시 수성구 지범로 191, 7층 (범물동, 동아백화점수성점)",대구광역시 수성구 범물동 1273 ,45.3,053-251-4026,커피숍
150,휴게음식점,크렘므,"대구광역시 수성구 범어로19길 40, 2층 (범어동)",대구광역시 수성구 범어동 200-21 2층 ,73.92,053-751-9332,커피숍
151,휴게음식점,신전떡볶이,대구광역시 수성구 달구벌대로526안길 14 (만촌동),대구광역시 수성구 만촌동 852-2 ,32.2,053-755-3996,커피숍
152,휴게음식점,파스쿠찌 대구황금점,"대구광역시 수성구 청수로 130 (두산동,(1층,2층))","대구광역시 수성구 두산동 94-2 (1층,2층) ",415,053-766-8497,커피숍
153,휴게음식점,스타벅스 수성리더스점,"대구광역시 수성구 동대구로 95 (두산동,수성SK리더스뷰 108동 605호,606호,614호,615호)","대구광역시 수성구 두산동 113 수성SK리더스뷰 108동 605호,606호,614호,615호 ",180,1522-3232,커피숍
154,휴게음식점,까페띠아모대구스타디움몰점,대구광역시 수성구 유니버시아드로 140 (대흥동),대구광역시 수성구 대흥동 504 ,109.8,053-795-1288,커피숍
155,휴게음식점,비원팔사(B184),대구광역시 수성구 유니버시아드로 140 (대흥동),대구광역시 수성구 대흥동 504 ,213.65,053-958-2041,커피숍
156,휴게음식점,카페다이노소어,대구광역시 수성구 유니버시아드로 140 (대흥동),대구광역시 수성구 대흥동 504 ,65.3,053-792-7600,커피숍
157,휴게음식점,투썸플레이스 대구스타디움점,대구광역시 수성구 유니버시아드로 140 (대흥동),대구광역시 수성구 대흥동 504 ,198,053-742-7585,커피숍
158,휴게음식점,투썸플레이스 대구스타디움점,대구광역시 수성구 유니버시아드로 140 (대흥동),대구광역시 수성구 대흥동 504 ,462,053-742-7153,커피숍
159,휴게음식점,디오커피잉크,"대구광역시 수성구 지범로 290, 118동 105호 (범물동, 범물우방미진상가)",대구광역시 수성구 범물동 670 ,45,053-783-7500,커피숍
160,휴게음식점,행복한커피,대구광역시 수성구 동대구로38길 17 (황금동),대구광역시 수성구 황금동 642-31 ,63.05,053-763-2977,커피숍
161,휴게음식점,예향카페,대구광역시 수성구 수성로 269 (수성동1가),대구광역시 수성구 수성동1가 522-2 ,102.75,053-763-8669,커피숍
162,휴게음식점,해피니스 인 커피,"대구광역시 수성구 세진로 104, 1층 (만촌동)",대구광역시 수성구 만촌동 1005-26 ,68.6,053-752-1215,커피숍
163,휴게음식점,테오카페바이트,"대구광역시 수성구 청호로95길 13, 지하1층 (범어동)",대구광역시 수성구 범어동 63-8 ,130.75,070-4209-9233,커피숍
164,휴게음식점,카페위(Cafe We)시교육청점,"대구광역시 수성구 수성로76길 11, 동관동 (수성동2가, 대구시교육청내)",대구광역시 수성구 수성동2가 119-2 ,43.24,053-754-7617,커피숍
165,휴게음식점,스타벅스대구범어제니스,"대구광역시 수성구 달구벌대로 2435, 301동 110호 (범어동, 두산위브제니스)",대구광역시 수성구 범어동 179 ,180.8,053-743-9536,커피숍
166,휴게음식점,(주)커피명가라핀카,대구광역시 수성구 국채보상로 953-1 (만촌동),대구광역시 수성구 만촌동 421-12 ,217.73,053-743-0892,커피숍
167,휴게음식점,더 플래닛 커피 로스터즈,대구광역시 수성구 만촌로 108 (만촌동),대구광역시 수성구 만촌동 659-1 ,105.3,053-752-0812,커피숍
168,휴게음식점,던킨KB빌딩점,대구광역시 수성구 달구벌대로 2397 (범어동),대구광역시 수성구 범어동 41-3 ,114,053-754-7654,커피숍
169,휴게음식점,롤링핀(범어점),대구광역시 수성구 달구벌대로496길 50 (범어동),대구광역시 수성구 범어동 292-15 ,71.53,053-752-9955,커피숍
170,휴게음식점,CafeHelens(까페헬렌스),대구광역시 수성구 수성로76길 26 (수성동2가),대구광역시 수성구 수성동2가 122-16 ,21.35,053-311-1521,커피숍
171,휴게음식점,엔제리너스중동점,대구광역시 수성구 수성로 233 (중동),대구광역시 수성구 중동 322-14 ,199,053-767-4326,커피숍
172,휴게음식점,레이블,대구광역시 수성구 동원로 147 (만촌동),대구광역시 수성구 만촌동 1325-41 ,179.6,053-742-2196,커피숍
173,휴게음식점,목신의오후,대구광역시 수성구 세진로 89 (만촌동),대구광역시 수성구 만촌동 988-2 ,55.8,데이터 미집계,커피숍
174,휴게음식점,동행,대구광역시 수성구 노변로 11 (노변동),"대구광역시 수성구 노변동 440 301동 101,1호",75.8,053-793-3972,커피숍
